Authors,Title,Year,Source,ArticleURL,Type,DOI,Cites,GSRank,QueryDate,Database,SearchTerms,RecordID
D. Lee,Sorption of napropamide on clay and soil in the presence of dissolved organic matter,1990,Journal of Environmental Quality,,Article,10.2134/jeq1990.00472425001900030035x,50,94,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157447
G.V. Cullen,Removing metals from waste solutions with low rank coals and related materials,1982,Water Research,https://api.elsevier.com/content/article/eid/1-s2.0-0043135482902147,Article,10.1016/0043-1354(82)90214-7,49,99,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157452
G. Cristina,Anaerobic digestates from sewage sludge used as fertilizer on a poor alkaline sandy soil and on a peat substrate: Effects on tomato plants growth and on soil properties,2020,Journal of Environmental Management,https://api.elsevier.com/content/article/eid/1-s2.0-S030147972030699X,Article,10.1016/j.jenvman.2020.110767,48,100,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--chlorophyll,peat--height,peat--absorption,peat--absorption,peat--chlorophyll,peat--height",157453
J.W. Stuckey,Peat formation concentrates arsenic within sediment deposits of the Mekong Delta,2015,Geochimica et Cosmochimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-S0016703714006292,Article,10.1016/j.gca.2014.10.021,48,101,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157454
S. Aldmour,Abiotic reduction of Cr(VI) by humic acids derived from peat and lignite: kinetics and removal mechanism,2019,Environmental Science and Pollution Research,,Article,10.1007/s11356-018-3902-1,47,102,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157455
Z. Chen,Interactions of arsenic and the dissolved substances derived from turf soils,2006,Environmental Science and Technology,,Article,10.1021/es060619m,47,103,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption,sphagnum--absorption,sphagnum--absorption,sphagnum--distribution",157456
A. Jensen,Historical deposition rates of mercury in scandinavia estimated by dating and measurement of mercury in cores of peat bogs,1991,"Water, Air, &amp; Soil Pollution",,Article,10.1007/BF00342315,47,104,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157457
R. Miller,"The association of major, minor and trace inorganic elements with lignites. I. Experimental approach and study of a North Dakota lignite",1986,Geochimica et Cosmochimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-0016703786902577,Article,10.1016/0016-7037(86)90257-7,47,105,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157458
J.W. Stuckey,Reactivity and speciation of mineral-associated arsenic in seasonal and permanent wetlands of the Mekong Delta,2015,Geochimica et Cosmochimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-S0016703715005311,Article,10.1016/j.gca.2015.09.002,46,106,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157459
B. De Lucia,Nursery growing media: Agronomic and environmental quality assessment of sewage sludge-based compost,2013,Applied and Environmental Soil Science,,Article,10.1155/2013/565139,46,107,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--bulkdensity,peat--absorption,peat--absorption,peat--bulkdensity",157460
R. Pöykiö,Leachability of metals in fly ash from a pulp and paper mill complex and environmental risk characterisation for eco-efficient utilization of the fly ash as a fertilizer,2005,Chemical Speciation and Bioavailability,,Article,10.3184/095422905782774964,45,108,2024-07-23 10:06:27,"scopus,scopus,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--absorption",157461
