"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"1","N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","https://www.publish.csiro.au/FP/FP13054","","",41,1,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--functionaltrait,syntrichia--height,syntrichia--light,syntrichia--nitrogen,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--quantumyield,syntrichia--reflectance,syntrichia--rhizoid,syntrichia--soil,syntrichia--watercontent,syntrichium--scattering,syntrichium--waterpotential,syntrichia--light,syntrichia--watercontent",100000
"2","J Jauregui‐Lazo, JC Brinda…","The phylogeny of Syntrichia: An ecologically diverse clade of mosses with an origin in South America",2023,"American Journal of …","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.16103","","10.1002/ajb2.16103",8,2,"2024-07-15 10:50:42","google,google,google,google,google,google,scopus","syntrichia--absorption,syntrichia--distribution,syntrichia--height,syntrichia--light,syntrichia--soil,syntrichium--scattering,syntrichia--distribution",100001
"3","Z Pan, WG Pitt, Y Zhang, N Wu, Y Tao, TT Truscott","The upside-down water collection system of Syntrichia caninervis",2016,"Nature plants","https://www.nature.com/articles/nplants201676","","",187,3,"2024-07-15 10:50:42","google,google,google,google,google,google,google,scopus","syntrichia--absorption,syntrichia--absorption,syntrichia--distribution,syntrichia--height,syntrichia--rhizoid,syntrichia--soil,syntrichia--watercontent,syntrichia--absorption",100002
"4","J Jauregui-Lazo, M Wilson, BD Mishler","The dynamics of external water conduction in the dryland moss Syntrichia",2023,"AoB Plants","https://academic.oup.com/aobpla/article-abstract/15/3/plad025/7175598","","",2,4,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--distribution,syntrichia--height,syntrichia--light,syntrichia--photosynthesis,syntrichia--respiration,syntrichia--rhizoid,syntrichia--soil,syntrichia--watercontent,syntrichium--scattering,syntrichia--photosynthesis",100003
"5","B Yin, Y Zhang, A Lou","Impacts of the removal of shrubs on the physiological and biochemical characteristics of Syntrichia caninervis Mitt: in a temperate desert",2017,"Scientific Reports","https://www.nature.com/articles/srep45268","HTML","",26,5,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--electrontransport,syntrichia--height,syntrichia--light,syntrichia--nitrogen,syntrichia--phenology,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--soil,syntrichia--watercontent,syntrichia--chlorophyll,syntrichia--soil",100004
"6","N Wu, YM Zhang, A Downing, J Zhang…","Membrane stability of the desert moss Syntrichia caninervis Mitt. during desiccation and rehydration",2012,"Journal of Bryology","https://www.tandfonline.com/doi/abs/10.1179/1743282011Y.0000000043","","10.1179/1743282011Y.0000000043",47,6,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google","syntrichia--absorption,syntrichia--carbon,syntrichia--conductance,syntrichia--distribution,syntrichia--light,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--soil,syntrichia--watercontent,syntrichium--scattering",100005
"7","Y Mao, W Liu, X Yang, Y Chang, T Yang, X Wang…","Syntrichia caninervis adapt to mercury stress by altering submicrostructure and physiological properties in the Gurbantünggüt Desert",2022,"Scientific Reports","https://www.nature.com/articles/s41598-022-15822-2","HTML","",6,7,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,scopus,scopus","syntrichia--absorption,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--height,syntrichia--nitrogen,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--soil,syntrichium--scattering,syntrichium--waterpotential,syntrichia--chlorophyll,syntrichia--soil",100006
"8","J Zhang, Y Zhang","Ecophysiological responses of the biocrust moss Syntrichia caninervis to experimental snow cover manipulations in a temperate desert of central Asia",2020,"Ecological Research","https://esj-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1440-1703.12072","","10.1111/1440-1703.12072",17,8,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--distribution,syntrichia--height,syntrichia--light,syntrichia--nitrogen,syntrichia--photosynthesis,syntrichia--soil,syntrichia--watercontent,syntrichia--soil",100007
"9","Ruchika, Z Csintalan, ER Péli","Seasonality and Small Spatial-Scale Variation of Chlorophyll a Fluorescence in Bryophyte Syntrichia ruralis [Hedw.] in Semi-Arid Sandy Grassland, Hungary",2020,"Plants","https://www.mdpi.com/2223-7747/9/1/92","HTML","",3,9,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--electrontransport,syntrichia--light,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--quantumyield,syntrichia--soil,syntrichia--watercontent,syntrichium--scattering,syntrichia--chlorophyll,syntrichia--photosystem,syntrichia--quantumyield",100008
"10","JTB Ekwealor","Tolerance of desiccation and UV radiation in mosses of the genus Syntrichia (Pottiaceae), from genomes to ecology",2020,"","https://search.proquest.com/openview/d3b78cecec01ca8931c7e37b008cf9ea/1?pq-origsite=gscholar&cbl=18750&diss=y","BOOK","",0,10,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google","syntrichia--absorption,syntrichia--carbon,syntrichia--carboxylation,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--electrontransport,syntrichia--height,syntrichia--light,syntrichia--nitrogen,syntrichia--nitrogenfixation,syntrichia--phenology,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--respiration,syntrichia--rhizoid,syntrichia--soil,syntrichia--watercontent",100009
"11","Y Zhang, X Zhou, B Yin, A Downing","Sensitivity of the xerophytic moss Syntrichia caninervis to prolonged simulated nitrogen deposition",2016,"Annals of Botany","https://academic.oup.com/aob/article-abstract/117/7/1153/2195927","","",35,11,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--chlorophyll,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--light,syntrichia--nitrogen,syntrichia--nitrogen,syntrichia--nitrogen,syntrichia--nitrogenfixation,syntrichia--phosphorus,syntrichia--photosynthesis,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--quantumyield,syntrichia--soil,syntrichia--chlorophyll,syntrichia--soil,sytrichia--nitrogen",100010
"12","NVJ de Bakker, A van Beem, JWM van de Staaij…","… temperate bryophyte Syntrichia ruralis var. arenicola grows more compactly upon enhanced UVB radiation, but does not produce more UVB absorbing …",NA,"","","CITATION","",0,12,"2024-07-15 10:50:42","google","syntrichia--absorption",100011
"13","P Liu, E Li, Y Ma, J Lü, Q Zhang","Allelopathic potential of Haloxylon ammodendron against Syntrichia caninervis and comparative analysis of soil microbial differences between inside and outside of …",2024,"Applied Soil Ecology","https://www.sciencedirect.com/science/article/pii/S0929139323004031","","",0,13,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--communitycomposition,syntrichia--distribution,syntrichia--nitrogen,syntrichia--phosphorus,syntrichia--photosystem,syntrichia--respiration,syntrichia--soil,syntrichium--scattering",100012
"14","E Rajandu, KL Kaljuvee, M Kulp, M Kaasik…","Syntrichia ruralis as a suitable bioindicator for urban areas–the case study of Tallinn city",2024,"Folia Cryptogamica …","https://ojs.utlib.ee/index.php/FCE/article/view/23459","","",0,14,"2024-07-15 10:50:42","google,google,google,google,scopus,scopus","syntrichia--absorption,syntrichia--distribution,syntrichia--nitrogen,syntrichia--soil,syntrichia--soil,sytrichia--nitrogen",100013
"15","Y Li, Z Wang, T Xu, W Tu, C Liu, Y Zhang…","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of plant …","https://www.sciencedirect.com/science/article/pii/S0176161710003536","","",27,15,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus,scopus,scopus,scopus,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--electrontransport,syntrichia--light,syntrichia--nitrogen,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--reflectance,syntrichia--respiration,syntrichia--rhizoid,syntrichia--rubisco,syntrichia--soil,syntrichia--chlorophyll,syntrichia--electrontransport,syntrichia--light,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--soil",100014
"16","JTB Ekwealor, S Kosina, BP Bowen, AT Silva…","Ultraviolet radiation and dehydration stress induce overlapping transcriptional and metabolic responses in Syntrichia mosses",2022,"BioRxiv","https://www.biorxiv.org/content/10.1101/2022.09.14.508022.abstract","","10.1101/2022.09.14.508022.abstract",1,16,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google","syntrichia--absorption,syntrichia--distribution,syntrichia--height,syntrichia--light,syntrichia--nitrogen,syntrichia--phenology,syntrichia--photosynthesis,syntrichia--soil,syntrichia--watercontent",100015
"17","LR Stark, JC Brinda, JL Greenwood","Propagula and shoots of Syntrichia pagorum (Pottiaceae) exhibit different ecological strategies of desiccation tolerance",2016,"The Bryologist","https://bioone.org/journals/the-bryologist/volume-119/issue-2/0007-2745-119.2.181/Propagula-and-shoots-of---Syntrichia-pagorum-Pottiaceae-exhibit/10.1639/0007-2745-119.2.181.short","","10.1639/0007-2745-119.2.181.short",20,17,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--electrontransport,syntrichia--light,syntrichia--phenology,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--quantumyield,syntrichia--rhizoid,syntrichia--soil,syntrichia--watercontent,syntrichia--chlorophyll,syntrichia--watercontent",100016
"18","SJ Xu, PA Jiang, ZW Wang, Y Wang","Crystal structures and chemical composition of leaf surface wax depositions on the desert moss Syntrichia caninervis",2009,"Biochemical Systematics and …","https://www.sciencedirect.com/science/article/pii/S0305197809001690","","",45,18,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--light,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--respiration,syntrichia--soil,syntrichium--scattering",100017
"19","ML Slate, JC Brinda, KK Coe, JL Greenwood…","Prehydration mitigates damage accrued from prolonged periods of desiccation in cultured shoot apices of Syntrichia ruralis",2021,"Journal of …","https://www.tandfonline.com/doi/abs/10.1080/03736687.2020.1833157","","10.1080/03736687.2020.1833157",4,19,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,google,scopus","syntrichia--absorption,syntrichia--carbon,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--electrontransport,syntrichia--light,syntrichia--nitrogen,syntrichia--nitrogenfixation,syntrichia--phenology,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--quantumyield,syntrichia--respiration,syntrichia--soil,syntrichia--watercontent,syntrichium--waterpotential,syntrichia--chlorophyll",100018
"20","JTB Ekwealor, BD Mishler","Transcriptomic Effects of Acute Ultraviolet Radiation Exposure on Two Syntrichia Mosses",2021,"Frontiers in Plant Science","https://www.frontiersin.org/articles/10.3389/fpls.2021.752913/full","HTML","10.3389/fpls.2021.752913",2,20,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,google,google,scopus,scopus","syntrichia--absorption,syntrichia--carboxylation,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--height,syntrichia--light,syntrichia--nitrogen,syntrichia--phenology,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--rubisco,syntrichia--soil,syntrichia--light,syntrichia--photosynthesis",100019
"21","KK Coe, JL Greenwood, ML Slate…","Strategies of desiccation tolerance vary across life phases in the moss Syntrichia caninervis",2021,"American journal of …","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1571","","10.1002/ajb2.1571",30,21,"2024-07-15 10:50:42","google,google,google,google,google,google,google,google,google,google,scopus","syntrichia--absorption,syntrichia--chlorophyll,syntrichia--distribution,syntrichia--light,syntrichia--photosynthesis,syntrichia--photosystem,syntrichia--quantumyield,syntrichia--rhizoid,syntrichia--soil,syntrichia--watercontent,syntrichia--chlorophyll",100020
